MONTH,IRP,PARKING,ON SITE,TRUCK,CHECK CHARGE,INSURANS,TOLL,FUEL,OTHER,CHASSIS,PAY,-------,DEPOSIT,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26
JANUARY,"$1,478.21",$587.00,"$2,357.73","$20,500.00",$265.77,"$1,747.37",$828.50,"$8,699.38",$29.99,"$2,463.50","$14,805.00",,"$94,175.00",,,,,,,,,,
FEBRUARY,$270.00,"$1,837.00","$1,216.34",$0.00,$0.00,"$1,834.74",$675.00,"$6,201.92",$332.86,"$3,402.25","$7,900.00",,"$50,004.50",,,,,,,,,,
MARCH,"$11,967.32","$1,837.00","$2,065.95",$0.00,$2.50,"$1,747.37",$900.00,"$10,308.38",$155.05,$0.00,"$14,415.00",,"$64,157.81",,,,,,,,,,
APRIL,$0.00,"$1,837.00",$791.85,$0.00,$0.00,$0.00,$675.00,"$5,222.08",$452.27,"$1,149.85","$55,870.00",,"$79,450.00",,,,,,,,,,
MAY,$180.00,$337.00,"$2,588.17",$0.00,$5.00,$0.00,$375.00,"$5,813.91","$1,466.87",$0.00,"$25,025.00",,"$56,002.50",,,,,,,,,,
JUNE,$790.57,"$1,837.00","$3,891.99",$0.00,$0.00,"$6,757.00",$600.00,"$4,156.73",$905.97,"$4,030.65","$8,978.58",,"$49,985.00",,,,,,,,,,
JULY,$0.00,"$1,500.00","$1,080.26",$0.00,$40.00,"$3,640.32",$525.00,"$3,245.75",$48.85,$0.00,"$3,545.00",,"$26,560.68",,,,,,,,,,
AUGEST,$670.84,"$1,837.00","$1,907.55",$0.00,$40.00,"$3,640.32",$750.00,"$5,432.74",$76.73,"$2,535.00","$5,530.00",,"$40,920.00",,,,,,,,,,
SEP,$0.00,"$1,837.00","$2,855.00",$0.00,$10.00,"$3,640.32",$750.00,"$4,650.09",$405.61,$0.00,"$4,650.00",,"$29,658.32",,,,,,,,,,
OCT,$312.00,"$1,837.00","$2,919.00",$0.00,$0.00,"$9,334.87",$975.00,"$4,219.97",$0.00,$0.00,"$4,800.00",,"$41,251.14",,,,,,,,,,
NOV,$361.94,"$1,837.00",$375.00,$0.00,$0.00,"$5,334.87","$1,875.00","$5,089.66",$0.00,"$2,416.50","$13,850.00",,"$36,450.12",,,,,,,,,,
DEC,$0.00,"$1,837.00",$665.00,"$34,000.00",$405.00,"$9,018.71","$1,200.00","$5,657.96",$291.32,$0.00,"$6,300.00",,"$35,631.18",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"$16,030.88","$18,957.00","$22,713.84","$54,500.00",$768.27,"$46,695.89","$10,128.50","$68,698.57","$4,165.52","$15,997.75","$165,668.58",,"$604,246.25",GROSS,,,,,,,,,
,,,,,,,,,,,,,"$424,324.80",SPENDING,,,,,,,,,
,,,,,,,,,,,,,"$179,921.45",PROFIT,,,,,,,,,