DATE,DEPOSIT,DEPOSIT FROM,IRP,PARKING,ON SITE,TRUCK,CHECK CHARGE,INSURANS,TOLL,FUEL,OTHER,CHASSIS,PAY,PAY TO,
01-02-2025,"$7,500.00",TMM,$142.00,$337.00,$163.50,"$20,500.00",$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-,
01-02-2025,"$6,000.00",TMM,$0.00,$250.00,$193.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-,
01-02-2025,"$2,000.00",TMM,$0.00,$0.00,$99.29,$0.00,$0.00,$0.00,$0.00,$13.39,$0.00,$0.00,$0.00,-,
01-03-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$34.47,$19.79,$0.00,$0.00,-,
01-06-2025,"$3,000.00",CASH ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$349.17,$0.00,$0.00,$0.00,-,
01-06-2025,"$23,600.00",ASL,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$262.11,$0.00,$0.00,$0.00,-,
01-06-2025,$0.00,-,"$1,261.21",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$289.70,$0.00,$0.00,$0.00,-,
01-06-2025,$0.00,-,$0.00,$0.00,$465.96,$0.00,$0.00,$0.00,$75.00,$399.45,$0.00,$0.00,"$3,000.00",TMM,
01-07-2025,"$2,000.00",ROADEX,$0.00,$0.00,$673.75,$0.00,$0.00,$0.00,$0.00,$229.51,$0.00,$0.00,$0.00,-,
01-08-2025,"$5,000.00",GENRAL HAUL,$0.00,$0.00,$119.00,$0.00,$0.00,$0.00,$0.00,$420.45,$0.00,$0.00,$250.00,MOE,
01-09-2025,"$1,375.00",TAJANI,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$0.00,$10.20,$0.00,$0.00,-,
01-10-2025,"$1,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$371.83,$0.00,$0.00,$0.00,-,
01-13-2025,"$1,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$277.71,$0.00,$211.75,$500.00,MOE,
01-13-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$450.00,$0.00,$0.00,$0.00,-,
01-13-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$168.03,$0.00,$0.00,$0.00,-,
01-13-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$338.15,$0.00,$0.00,$0.00,-,
01-14-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.50,$232.86,$0.00,$0.00,$0.00,-,
01-15-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$69.73,$0.00,$0.00,"$1,500.00",TMM,
01-15-2025,"$13,600.00",ASL,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$272.01,$0.00,$0.00,"$3,000.00",TAZ,
01-15-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$449.38,$0.00,$0.00,"$1,600.00",MOE,
01-15-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$56.65,$0.00,$0.00,$373.32,$0.00,$0.00,"$3,500.00",GENRAL HAUL,
01-15-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$449.38,$0.00,$0.00,"$3,000.00",MOHAB,
01-15-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$254.17,$0.00,$0.00,"$2,000.00",TAZ,
01-16-2025,"$1,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$264.11,$0.00,$0.00,"$1,500.00",GENRAL HAUL,
01-17-2025,$700.00,TAJANI,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$183.30,$0.00,$0.00,$95.00,MOHAB,
01-21-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$337.64,$0.00,$0.00,"$1,750.00",MOE,
01-21-2025,$0.00,-,$0.00,$0.00,$0.00,$0.00,$46.60,$0.00,$0.00,$399.45,$0.00,$0.00,"$4,000.00",TAZ,
01-22-2025,"$1,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$31.88,$0.00,$0.00,$30.35,$0.00,$0.00,$420.00,MOHAB,
01-22-2025,"$12,800.00",ASL,$0.00,$0.00,$642.50,$0.00,$14.99,"$1,747.37",$75.00,$349.80,$0.00,$982.50,"$1,200.00",MOHAB,
01-24-2025,"$2,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$49.00,$0.00,$75.00,$399.45,$0.00,$261.00,"$1,205.00",MOE,
01-29-2025,$0.00,-,$75.00,$0.00,$0.00,$0.00,$56.65,$0.00,$0.00,$156.43,$0.00,$54.50,$0.00,-,
01-30-2025,"$1,000.00",ROADEX,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$408.47,$0.00,$953.75,$0.00,-,
01-31-2025,"$9,600.00",ASL,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$465.56,$0.00,$0.00,$0.00,-,
,"$94,175.00",,"$1,478.21",$587.00,"$2,357.73","$20,500.00",$265.77,"$1,747.37",$828.50,"$8,699.38",$29.99,"$2,463.50","$28,520.00",,
GROSS,"$94,175.00",,"$1,478.21",$587.00,"$2,357.73","$20,500.00",$265.77,"$1,747.37",$828.50,"$8,699.38",$29.99,"$2,463.50","$28,520.00",,
TOTAL SPENDING,"$67,477.45",,,,,,,,,,,,,,
PROFIT,"$26,697.55",,,,,,,,,,,,MOHAB,"$4,715.00",
,,,,,,,,,,,,,TAZ,"$9,000.00",
,,,,,,,,,,,,,T+M,"$13,715.00",
,,,,,,,,,,,,,,"$14,805.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,MOE,"$3,555.00"